title,price,phoneContact,companyName,location,imageLink
Contemporary And Luxury 6 Bedroom Detached Home.,"₦1,200,000,000",08135339459,Everything Property Ltd,"Katampe Extension, Katampe, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2281913/06658b502efe96-contemporary-and-luxury-6bedroom-detached-home-detached-duplexes-for-sale-katampe-extension-katampe-district-abuja.jpeg
Exquisitely Finished Luxury 5 Bedroom Fully Detached Home With A Boy',"₦600,000,000",08036250108,Dijaprimeproperties,"Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299227/0666729d501444-exquisitely-finished-luxury-5-bedroom-fully-detached-home-with-a-boy-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
Luxury Built 5 Bedroom Automated Home With Pool Cinema,"₦600,000,000",08083233032,Nevickhills Limited,"Lekki Phase 1, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299223/06667295430769-luxury-built-5-bedroom-automated-home-with-pool-cinema-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg
Pretty Decent 4 Bed Fully-detached Duplex + A Pool,"₦230,000,000",08036250108,Dijaprimeproperties,"Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299024/066670e5f47483-pretty-decent-4-bed-fully-detached-duplex-a-pool-detached-duplexes-for-sale-ajah-lagos.jpg
Contemporary Built 5 Bedroom Detached House With Pool,"₦240,000,000",08083233032,Nevickhills Limited,"In A Service Estate, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299016/066670e8a5d4be-contemporary-built-5-bedroom-detached-house-with-pool-detached-duplexes-for-sale-ajah-lagos.jpg
Magnificent Luxury 4bedroom Fully Detached And Finished Duplex +bq,"₦160,000,000",+2347046474687,Detrust Realty,"Ogba, Ikeja, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298940/0666707022f6ac-magnificent-luxury-4bedroom-fully-detached-and-finished-duplex-bq-detached-duplexes-for-sale-ogba-ikeja-lagos.jpg
Newly Built And Luxury Finished 4 Bedroom Duplex With Boys Quarter,"₦125,000,000",08083233032,Nevickhills Limited,"In A Service Estate, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298871/06666fd0b4dfef-newly-built-and-luxury-finished-4-bedroom-duplex-with-boys-quarter-detached-duplexes-for-sale-ajah-lagos.jpg
Captivating 5 Bedrooms Detached Duplex With Swimming Pool,"₦400,000,000",+2348177766115,Bluehedge Realtors,"Chevron Tollgate, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2223455/0662a6e54d53fb-5-bedroom-detached-duplex-detached-duplexes-for-sale-lekki-lagos.jpg
Lovely 4 Bedroom Semi-detached House With Gate House And Bq,"₦130,000,000",+2348177766115,Bluehedge Realtors,"Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2224732/0662b7be143bda-4-bed-semi-detached-duplexes-for-sale-ajah-lagos.jpg
Contemporary Built And Luxury Finished 5 Bedroom Fully Detached Duplex,"₦170,000,000",08083233032,Nevickhills Limited,"In A Service Estate, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298731/06666eca9b5115-contemporary-built-and-luxury-finished-5-bedroom-fully-detached-duplex-detached-duplexes-for-sale-ajah-lagos.jpg
Elegant 5 Bedroom Detached Duplex With Swimming Pool,"₦450,000,000",+2348177766115,Bluehedge Realtors,"By Vgc, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2260639/066474aa629b11-5-bedroom-detached-duplex-with-swimming-pool-detached-duplexes-for-sale-lekki-lagos.jpg
4 Bedroom Luxury Built And Exquisitely Finished Duplex,"₦145,000,000",08083233032,Nevickhills Limited,"In A Service Estate, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298668/06666ea0eb1e6c-4-bedroom-luxury-built-and-exquisitely-finished-duplex-semi-detached-duplexes-for-sale-ajah-lagos.jpg
Partially Furnished 4 Bedroom Detached House At Ajah,"₦130,000,000",08036250108,Dijaprimeproperties,"Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298530/06666dbc753179-partially-furnished-4-bedroom-detached-house-at-ajah-for-sale-ajah-lagos.jpg
Luxury Built And Exquisitely Finished 4 Bedroom Detached Duplex With B,"₦130,000,000",08083233032,Nevickhills Limited,"Thomas Estate, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298506/06666d254ef2fc-luxury-built-and-exquisitely-finished-4-bedroom-detached-duplex-with-b-detached-duplexes-for-sale-ajah-lagos.jpg
Brand New 3 Bedrooms Terraced Duplex With Self Compound,"₦75,000,000",+2348177766115,Bluehedge Realtors,"Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1796472/0649eef72af518-brand-new-3-bedroom-terrace-duplex-with-self-compound-terraced-duplexes-for-sale-ajah-lagos.jpg
Brand New 4 Bedroom Semi-detached Duplex With Bq,"₦110,000,000",08162593706,Proxuna Realty,"By Chevron Tollgate, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2266504/0664c79392a2bf-4-bedroom-semi-detached-duplexes-for-sale-lekki-lagos.jpg
"Brand New, Strategically Located 5 Bedrooms Detached Duplex","₦200,000,000",+2348177766115,Bluehedge Realtors,"Megamound Estate, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1483110/0633d5f449e58e-5-bedroom-detached-duplex-detached-duplexes-for-sale-ikota-lekki-lagos.jpg
Brand New 5 Bedrooms Detached Duplex With 1 Room Bq,"₦1,000,000,000",08082163583,Joe Etoniru And Associates,"2nd Avenue, Old Ikoyi, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2248447/0663dfbe08e829-brand-new-5-bedroom-detached-duplex-with-1-room-bq-detached-duplexes-for-sale-old-ikoyi-ikoyi-lagos.jpg
Four Bedroom Semi Detached Duplex,"₦85,000,000",08082163583,Joe Etoniru And Associates,"Ikota, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2253097/0664214d8ded8f-four-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-ikota-lekki-lagos.jpg
Four Bedroom Detached Duplex,"₦160,000,000",08082163583,Joe Etoniru And Associates,"Orchid Road, Lafiaji, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2279269/066570a95602a1-four-bedroom-detached-duplex-detached-duplexes-for-sale-lafiaji-lekki-lagos.jpg
